S,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
28.5,0.00032477680633746786
28.5625,-0.00015918539020276512
28.625,-2.640635443640349e-05
28.6875,-6.187521250922146e-05
28.75,7.666873358402881e-05
28.8125,-0.00011780416997453358
28.875,0.00038719068129466905
28.9375,-0.00047506446776424127
29,0.00033175808766827686
29.0625,0.00022692515244671085
29.125,-0.0004996049369765387
29.1875,-2.7534525770533946e-05
29.25,0.0001757415475367452
29.3125,-0.00017725318457451067
29.375,0.00035830746014653414
29.4375,9.346315721359133e-05
29.5,-0.0002614017944324587
29.5625,-0.00010322830945597161
29.625,1.594439957841587e-05
29.6875,0.0009865794936558814
29.75,-0.00330341276821855
29.8125,-0.0001300837055850934
29.875,0.005417978627519915
29.9375,-0.0016014714674383868
30,-0.002737296881605289
30.0625,0.0020884701825707452
30.125,0.0003955822762691241
30.1875,-0.001243531187355984
30.25,7.504068832986377e-05
30.3125,0.0021180667317821644
30.375,-0.007364947578025749
30.4375,0.010431118425913155
30.5,-0.00960793568083318
30.5625,0.0018218174773210194
30.625,0.0015264878356902045
30.6875,0.006511651008622721
30.75,-0.010782063327496871
30.8125,0.00925510175875388
30.875,-0.004260358309693402
30.9375,0.0011787550420194748
31,-0.0002661108737811446
31.0625,-0.0005205329216551036
31.125,-0.00031336475103671546
31.1875,0.0016127908111229772
31.25,-0.002099828634527512
31.3125,0.0012927123407280305
31.375,-0.002052626996373874
31.4375,0.0033845758480310906
31.5,-0.0016431694120910834
31.5625,-0.0004067969996413012
31.625,0.00020970990988189442
31.6875,0.0006185680376802338
31.75,-0.0007547234872617992
31.8125,6.878035918589376e-05
31.875,0.00033387803455298126
31.9375,-0.00037144712905501365
32,0.00011642328701100269
32.0625,-3.356912614549401e-05
32.125,0.0003702685660300631
32.1875,-0.00025646878043517063
32.25,0.0003986760930274613
32.3125,-0.0008819060326459294
32.375,0.00036603876196750207
32.4375,0.00033962012935262464
32.5,-0.00037306077160792483
32.5625,0.00014472229281636828
32.625,-2.0105010989368566e-05
32.6875,0.00012011443573101133
32.75,-4.270342301992969e-05
32.8125,-0.0003152181022869627
32.875,0.00022108721964286815
32.9375,0.00021436693486975855
33,-0.00010460463073513893
33.0625,-0.000160896348688766
33.125,0.00015193222679954488
33.1875,-0.00011744164396532142
33.25,8.450220079225801e-06
33.3125,4.207689130453218e-05
33.375,-2.5819094418011446e-05
33.4375,5.418282000846375e-05
33.5,3.354739064320711e-05
33.5625,-0.0005651624519487086
33.625,0.0006918978101566609
33.6875,-5.4365280277579586e-05
33.75,-0.00018383529720722436
33.8125,0.0002210764336041393
